JC125449,01/22/2019 11:45:00 AM,003XX E 76TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,Y,N,623,6,15,1179510,1854685,41.75653663,-87.617694686,"(41.75653663, -87.617694686)"
JC128052,01/17/2019 09:00:00 PM,005XX W FULLERTON PKWY,0820,THEFT,$500 AND UNDER,STREET,N,N,1812,43,06,1172284,1916220,41.925555801,-87.642362224,"(41.925555801, -87.642362224)"
JC109748,01/08/2019 04:15:00 PM,006XX S CENTRAL AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),Y,N,1522,29,08B,1139153,1896560,41.872274452,-87.764581664,"(41.872274452, -87.764581664)"
JC151956,01/28/2019 06:25:00 PM,007XX S PULASKI RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,1132,24,07,1149837,1896292,41.871338069,-87.725362645,"(41.871338069, -87.725362645)"
JC115911,01/07/2019 03:00:00 PM,001XX W BURTON PL,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1821,27,06,1174754,1910265,41.909160051,-87.633464899,"(41.909160051, -87.633464899)"
JC120659,01/11/2019 03:00:00 PM,021XX N SEMINARY AVE,0890,THEFT,FROM BUILDING,APARTMENT,N,N,1811,43,06,1168617,1914458,41.920801075,-87.655887629,"(41.920801075, -87.655887629)"
JC152314,01/22/2019 10:00:00 AM,012XX S WABASH AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,N,N,131,3,11,1176964,1894831,41.866758579,-87.625813935,"(41.866758579, -87.625813935)"
JC117933,01/15/2019 12:00:00 PM,012XX N HALSTED ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1822,27,06,1170779,1908521,41.904462488,-87.648118305,"(41.904462488, -87.648118305)"
JC153572,01/30/2019 11:30:00 AM,003XX E 51ST ST,0880,THEFT,PURSE-SNATCHING,CTA TRAIN,N,N,224,3,06,,,,,
JC155605,01/22/2019 05:30:00 AM,021XX W 21ST PL,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1234,25,06,,,,,
JC117994,01/15/2019 12:30:00 PM,006XX W CHICAGO AVE,0890,THEFT,FROM BUILDING,OTHER,N,N,1822,27,06,1172127,1905620,41.896472326,-87.643252484,"(41.896472326, -87.643252484)"
JC111220,01/10/2019 12:15:00 AM,001XX W GRAND AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1831,42,06,1175344,1903878,41.891620575,-87.63148948,"(41.891620575, -87.63148948)"
JC152430,01/14/2019 04:00:00 PM,048XX S HERMITAGE AVE,0560,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, BUILDING",N,N,931,15,08A,1165496,1872603,41.806014339,-87.668545635,"(41.806014339, -87.668545635)"
JC152203,01/18/2019 04:12:00 PM,099XX S PERRY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,511,9,26,1177355,1839071,41.713738773,-87.626062536,"(41.713738773, -87.626062536)"
JC119424,01/16/2019 10:21:00 AM,004XX W DIVISION ST,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,1821,27,06,1172922,1908283,41.903762161,-87.640253602,"(41.903762161, -87.640253602)"
JC115284,01/12/2019 11:30:00 AM,010XX W NORTH AVE,0890,THEFT,FROM BUILDING,APPLIANCE STORE,Y,N,1811,2,06,1169336,1910832,41.910835515,-87.653351515,"(41.910835515, -87.653351515)"
JC153772,01/26/2019 12:01:00 AM,030XX S KEDVALE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,N,Y,1031,22,02,,,,,
JC125364,01/12/2019 12:00:00 AM,0000X W ILLINOIS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1831,42,06,,,,,
JC113136,01/11/2019 03:27:00 PM,035XX S WESTERN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,Y,N,911,12,04A,1160940,1881218,41.829750417,-87.685017033,"(41.829750417, -87.685017033)"
